share,change,dollarAmount,insiderPortfolioChange,zeroDay,oneDay,sevenDay,fourteenDay,thirtyDay
67114,-6803,-1345599.385,-0.0920356616204662,198.61000061035156,1,1,1,1
73917,9747,856663.83,0.15189340813464236,198.61000061035156,1,1,1,1
35813,-12059,-2393229.14,-0.2519009024064171,197.13999938964844,1,1,1,1
47872,12059,1076265.75,0.33672130232038644,197.13999938964844,1,1,1,1
1835,-933,-186600.0,-0.3370664739884393,200.8800048828125,1,0,1,1
0,-50,-8857.35,-1.0,176.64999389648438,1,0,1,1
1381,-127,-22734.27,-0.08421750663129973,179.00999450683594,1,0,0,1
1508,289,51733.89,0.23707957342083674,179.00999450683594,1,0,0,1
50,-21,-3759.21,-0.29577464788732394,179.00999450683594,1,0,0,1
1141,-91,-16116.1,-0.07386363636363637,177.10000610351562,1,0,1,1
1232,178,31523.8,0.16888045540796964,177.10000610351562,1,0,1,1
48280,-30875,-5419519.625,-0.390057482155265,175.66000366210938,0,1,1,1
79155,30875,2713603.75,0.6394987572493787,175.66000366210938,0,1,1,1
16139,211,38701.619999999995,0.013247112004018081,175.66000366210938,0,1,1,1
46528,231,42370.02,0.004989524159232779,175.66000366210938,0,1,1,1
40550,211,38701.619999999995,0.005230670071147029,175.66000366210938,0,1,1,1
3090,184,33749.28,0.06331727460426703,175.66000366210938,0,1,1,1
23732,-44620,-3671570.086,-0.6527972846441947,82.75,0,0,1,1
68352,56225,2820246.0,4.636348643522718,82.75,0,0,1,1
6396,-5140,-418026.434,-0.4455617198335645,81.76000213623047,1,1,1,1
11536,5140,119427.9,0.8036272670419012,81.76000213623047,1,1,1,1
47078,-1157,-93994.68,-0.023986731626412357,82.08999633789062,0,1,0,1
9366,-9243,-716255.7831,-0.4966951475092697,77.5999984741211,1,1,1,1
18609,9243,456789.06,0.9868673926969891,77.5999984741211,1,1,1,1
12127,-124010,-9532264.269,-0.9109206167316747,78.36000061035156,1,1,1,1
136137,124010,3927396.7,10.225942112641214,78.36000061035156,1,1,1,1
48235,-1500,-117194.4,-0.03015984719010757,78.36000061035156,1,1,1,1
12127,-55730,-4172120.563,-0.8212859395493464,74.69999694824219,1,1,1,1
67857,55730,1714533.45,4.595530634122206,74.69999694824219,1,1,1,1
8896,-15000,-1116135.0,-0.6277201205222631,74.69999694824219,1,1,1,1
49735,-1000,-74781.59999999999,-0.019710259189908347,74.69999694824219,1,1,1,1
12937,142,10061.41,0.011098085189527158,71.19000244140625,0,0,0,1
12127,142,10061.41,0.011848143512724238,71.19000244140625,0,0,0,1
114426,142,10061.41,0.0012425186377795668,71.19000244140625,0,0,0,1
85798,142,10061.41,0.00165779396656393,71.19000244140625,0,0,0,1
5721,142,10061.41,0.025452590069905003,71.19000244140625,0,0,0,1
11985,-50000,-3555220.0,-0.8066467693796886,71.06999969482422,1,0,0,0
61985,50000,1538250.0,4.171881518564873,71.06999969482422,1,0,0,0
0,-5226,-363999.2616,-1.0,68.87000274658203,0,1,0,1
6094,-30392,-2151385.8567999997,-0.8329770322863564,70.87000274658203,0,0,1,0
36486,8099,343316.61,0.2853066544545038,70.87000274658203,0,0,1,0
28387,11377,562251.34,0.6688418577307467,70.87000274658203,0,0,1,0
17010,5710,180835.7,0.5053097345132743,70.87000274658203,0,0,1,0
11300,3492,107431.38,0.44723360655737704,70.87000274658203,0,0,1,0
7808,1714,39824.79,0.2812602559894979,70.87000274658203,0,0,1,0
1498,-1400,-99832.04,-0.4830917874396135,71.52999877929688,0,0,0,0
2898,1400,28111.999999999996,0.9345794392523364,71.52999877929688,0,0,0,0
89979,-21410,-1515423.3509999998,-0.19220928457926725,71.52999877929688,0,0,0,0
111389,-12000,-839750.4,-0.09725340184295196,71.52999877929688,0,0,0,0
15255,-1595,-111331.0,-0.09465875370919881,70.29000091552734,1,0,0,0
110199,-44300,-3107742.4599999995,-0.2867332474643849,70.29000091552734,1,0,0,0
12795,1922,130052.13000000002,0.1767681412673595,67.6500015258789,0,1,1,1
11985,1922,130052.13000000002,0.190996720659843,67.6500015258789,0,1,1,1
114284,1922,130052.13000000002,0.017105427101689184,67.6500015258789,0,1,1,1
5226,1922,130052.13000000002,0.5817191283292978,67.6500015258789,0,1,1,1
16850,-2000,-140000.0,-0.10610079575596817,69.22000122070312,0,0,0,1
18850,2000,34924.0,0.11869436201780416,69.22000122070312,0,0,0,1
7501,-2000,-140000.0,-0.2105041574571098,69.22000122070312,0,0,0,1
9501,2000,34924.0,0.26663111585121985,69.22000122070312,0,0,0,1
83734,-15000,-1050000.0,-0.15192334960601211,69.22000122070312,0,0,0,1
601,-284,-19167.16,-0.32090395480225986,67.4800033569336,0,1,0,1
7501,-2400,-162000.0,-0.2423997576002424,67.45999908447266,1,1,0,1
9901,2400,27583.2,0.3199573390214638,67.45999908447266,1,1,0,1
98734,-1000,-65239.99999999999,-0.010026670944712936,64.37999725341797,1,1,1,1
99734,-1000,-65040.00000000001,-0.009927134830345265,64.9800033569336,0,1,1,1
7501,-2000,-130000.0,-0.2105041574571098,64.98999786376953,0,1,1,1
9501,2000,22986.0,0.26663111585121985,64.98999786376953,0,1,1,1
100734,-7500,-487575.00000000006,-0.06929430677975497,64.98999786376953,0,1,1,1
108234,-500,-31755.0,-0.004598377692350139,64.98999786376953,0,1,1,1
108734,-500,-31690.0,-0.004577329402933153,63.38999938964844,1,1,1,1
109234,-500,-31465.0,-0.004556472925437877,63.720001220703125,0,1,1,1
7501,-2000,-125000.0,-0.2105041574571098,62.47999954223633,1,1,1,1
9501,2000,23860.0,0.26663111585121985,62.47999954223633,1,1,1,1
109734,-500,-31000.0,-0.0045358056497995175,62.47999954223633,1,1,1,1
110234,-500,-31000.0,-0.004515325013094443,61.040000915527344,1,1,1,1
110734,-2500,-155000.0,-0.02207817439991522,61.97999954223633,0,1,1,1
113234,-500,-31000.0,-0.004396222765399968,61.29999923706055,0,1,1,1
113734,-2000,-124000.0,-0.017281006445815403,61.7599983215332,0,0,1,1
1498,-99,-6004.349999999999,-0.061991233562930494,60.369998931884766,0,1,1,1
1597,265,16072.25,0.19894894894894896,60.369998931884766,0,1,1,1
16838,-473,-28687.45,-0.027323667032522675,60.369998931884766,0,1,1,1
17311,1200,72780.0,0.07448327229842965,60.369998931884766,0,1,1,1
6094,-758,-45972.7,-0.11062463514302394,60.369998931884766,0,1,1,1
6852,1925,116751.25,0.390704282524863,60.369998931884766,0,1,1,1
4921,-4850,-292063.605,-0.4963667997134377,60.369998931884766,0,1,1,1
9771,4850,153599.5,0.9855720382036172,60.369998931884766,0,1,1,1
4921,-557,-33782.049999999996,-0.10167944505293904,60.369998931884766,0,1,1,1
5478,1415,85819.75,0.34826482894412997,60.369998931884766,0,1,1,1
36750,-2764,-167636.6,-0.06994989117781039,60.369998931884766,0,1,1,1
39514,5880,356622.0,0.17482309567699353,60.369998931884766,0,1,1,1
27069,-879,-53311.35,-0.031451266638042076,60.369998931884766,0,1,1,1
27948,1870,113415.5,0.07170795306388526,60.369998931884766,0,1,1,1
3509,-292,-17709.8,-0.07682188897658511,60.369998931884766,0,1,1,1
3801,930,56404.5,0.3239289446185998,60.369998931884766,0,1,1,1
7501,-431,-26140.149999999998,-0.054336863338376194,60.369998931884766,0,1,1,1
7932,930,56404.5,0.1328191945158526,60.369998931884766,0,1,1,1
10010,-1143,-69322.95,-0.10248363668967991,60.369998931884766,0,1,1,1
11153,2430,147379.5,0.2785738851312622,60.369998931884766,0,1,1,1
151115,-1758,-106622.7,-0.01149974161558941,60.369998931884766,0,1,1,1
152873,3740,226831.0,0.02507828582540417,60.369998931884766,0,1,1,1
19974,-8789,-533052.85,-0.3055661787713382,60.369998931884766,0,1,1,1
28763,18700,1134155.0,1.8582927556394713,60.369998931884766,0,1,1,1
89979,-1157,-70172.05,-0.0126953125,60.369998931884766,0,1,1,1
91136,2460,149199.0,0.02774144075059768,60.369998931884766,0,1,1,1
8723,-7336,-447633.1832,-0.4568154928700417,61.220001220703125,0,1,1,1
16059,7336,367973.75999999995,0.8409950705032673,61.220001220703125,0,1,1,1
7642,-1970,-121430.60299999999,-0.20495214315439034,61.31999969482422,0,0,0,1
25287,-21568,-2803840.0,-0.4603137338597802,129.44000244140625,1,0,1,1
46855,30935,1854243.9,1.9431532663316582,129.44000244140625,1,0,1,1
15920,-3905,-507650.0,-0.19697351828499368,129.44000244140625,1,0,1,1
19825,6000,293880.0,0.43399638336347196,129.44000244140625,1,0,1,1
49782,-12500,-1625111.2500000002,-0.20070004174560868,129.44000244140625,1,0,1,1
62282,7500,288000.0,0.1369062830856851,129.44000244140625,1,0,1,1
54782,5000,235000.0,0.10043790928448033,129.44000244140625,1,0,1,1
76087,-10000,-1300089.9999999998,-0.11616155749416288,129.44000244140625,1,0,1,1
113674,-29588,-3791110.44,-0.20653069201881866,127.70999908447266,0,0,1,1
143262,45709,2148323.0,0.46855555441657354,127.70999908447266,0,0,1,1
96996,15752,935983.8400000001,0.19388508689872483,128.1300048828125,0,1,1,1
16876,-8000,-1011920.0,-0.32159511175430133,126.58000183105469,1,1,1,1
13825,-220,-25988.6,-0.015663937344250624,117.20999908447266,0,1,1,1
62571,-23008,-2969173.1968,-0.2688510031666647,129.05999755859375,0,0,0,0
85579,23008,1166965.76,0.36771028112064696,129.05999755859375,0,0,0,0
43743,-5350,-690150.0,-0.10897683987533864,128.94000244140625,0,0,0,0
49093,-1000,-129000.0,-0.019962869063541812,128.94000244140625,0,0,0,0
50093,1000,38400.0,0.02036950278043713,128.94000244140625,0,0,0,0
49782,-9500,-1211250.0,-0.16025100367733883,128.49000549316406,1,0,0,0
59282,5000,192000.0,0.09211156552816771,128.49000549316406,1,0,0,0
54282,4500,211500.0,0.0903941183560323,128.49000549316406,1,0,0,0
